date,open_time,open_price,ma200,deviation,up_target,sl_level,bounce_50,sl_hit,outcome,exit_time,exit_price,max_up_pts,max_dn_pts,session_high,session_low
2026-03-24,2026-03-24 09:30:00-04:00,46185.0,46401.28,0.4661,46235.0,46155.0,False,True,loss,2026-03-24 09:30:00-04:00,46155.0,5.0,83.0,46621.0,46046.0
2026-03-25,2026-03-25 09:30:00-04:00,46944.0,46777.97,-0.3549,46994.0,46914.0,True,False,win,2026-03-25 09:30:00-04:00,46994.0,92.0,73.0,47036.0,46608.0
2026-03-26,2026-03-26 09:30:00-04:00,46467.0,46552.22,0.1831,46517.0,46437.0,True,False,win,2026-03-26 09:30:00-04:00,46517.0,79.0,39.0,46848.0,46428.0
2026-03-27,2026-03-27 09:30:00-04:00,45831.0,46295.92,1.0042,45881.0,45801.0,True,False,win,2026-03-27 09:30:00-04:00,45881.0,187.0,24.0,46018.0,45688.0
2026-03-30,2026-03-30 09:30:00-04:00,45781.0,45427.82,-0.7775,45831.0,45751.0,True,False,win,2026-03-30 09:30:00-04:00,45831.0,90.0,25.0,45871.0,45527.0
2026-03-31,2026-03-31 09:30:00-04:00,45876.0,45768.79,-0.2342,45926.0,45846.0,True,False,win,2026-03-31 09:30:00-04:00,45926.0,136.0,58.0,46135.0,45723.0
2026-04-01,2026-04-01 09:30:00-04:00,46883.0,46716.98,-0.3554,46933.0,46853.0,True,False,win,2026-04-01 09:30:00-04:00,46933.0,100.0,28.0,47024.0,46707.0
2026-04-02,2026-04-02 09:30:00-04:00,46219.0,46436.97,0.4694,46269.0,46189.0,False,True,loss,2026-04-02 09:30:00-04:00,46189.0,40.0,73.0,46987.0,46113.0
2026-04-06,2026-04-06 09:30:00-04:00,46715.0,46642.9,-0.1546,46765.0,46685.0,False,True,loss,2026-04-06 09:30:00-04:00,46685.0,21.0,155.0,46933.0,46560.0
2026-04-07,2026-04-07 09:30:00-04:00,46643.0,46849.82,0.4415,46693.0,46613.0,True,False,win,2026-04-07 09:30:00-04:00,46693.0,191.0,0.0,46834.0,46453.0
2026-04-08,2026-04-08 09:30:00-04:00,48202.0,47797.67,-0.8459,48252.0,48172.0,False,True,loss,2026-04-08 09:30:00-04:00,48172.0,29.0,109.0,48261.0,47789.0
2026-04-09,2026-04-09 09:30:00-04:00,47967.0,48039.84,0.1516,48017.0,47937.0,False,True,loss,2026-04-09 09:30:00-04:00,47937.0,41.0,47.0,48101.0,47920.0
2026-04-10,2026-04-10 09:30:00-04:00,48269.0,48375.18,0.2195,48319.0,48239.0,True,False,win,2026-04-10 09:30:00-04:00,48319.0,183.0,17.0,48452.0,48154.0
2026-04-13,2026-04-13 09:30:00-04:00,47786.0,47796.84,0.0227,47836.0,47756.0,True,False,win,2026-04-13 09:30:00-04:00,47836.0,99.0,75.0,47991.0,47711.0
2026-04-14,2026-04-14 09:30:00-04:00,48447.0,48439.16,-0.0162,48497.0,48417.0,False,True,loss,2026-04-14 09:30:00-04:00,48417.0,26.0,58.0,48717.0,48389.0
2026-04-15,2026-04-15 09:30:00-04:00,48826.0,48751.2,-0.1534,48876.0,48796.0,True,False,win,2026-04-15 09:30:00-04:00,48876.0,85.0,54.0,48911.0,48516.0
2026-04-16,2026-04-16 09:30:00-04:00,48782.0,48722.76,-0.1216,48832.0,48752.0,True,False,win,2026-04-16 09:30:00-04:00,48832.0,89.0,63.0,48871.0,48529.0
2026-04-17,2026-04-17 09:30:00-04:00,49446.0,48902.4,-1.1116,49496.0,49416.0,False,True,loss,2026-04-17 09:30:00-04:00,49416.0,33.0,204.0,49851.0,49242.0
2026-04-20,2026-04-20 09:30:00-04:00,49599.0,49423.6,-0.3549,49649.0,49569.0,True,False,win,2026-04-20 09:30:00-04:00,49649.0,86.0,50.0,49686.0,49434.0
2026-04-21,2026-04-21 09:30:00-04:00,49897.0,49757.72,-0.2799,49947.0,49867.0,False,True,loss,2026-04-21 09:30:00-04:00,49867.0,48.0,72.0,50043.0,49549.0
2026-04-22,2026-04-22 09:30:00-04:00,49707.0,49572.98,-0.2704,49757.0,49677.0,True,False,win,2026-04-22 09:30:00-04:00,49757.0,50.0,72.0,49810.0,49615.0
2026-04-23,2026-04-23 09:30:00-04:00,49403.0,49398.44,-0.0092,49453.0,49373.0,True,False,win,2026-04-23 09:30:00-04:00,49453.0,141.0,5.0,49703.0,49390.0
2026-04-24,2026-04-24 09:30:00-04:00,49285.0,49400.38,0.2336,49335.0,49255.0,True,False,win,2026-04-24 09:30:00-04:00,49335.0,232.0,10.0,49517.0,49243.0
2026-04-27,2026-04-27 09:30:00-04:00,49467.0,49323.41,-0.2911,49517.0,49437.0,True,False,win,2026-04-27 09:30:00-04:00,49517.0,55.0,163.0,49522.0,49224.0
2026-04-28,2026-04-28 09:30:00-04:00,49467.0,49404.78,-0.1259,49517.0,49437.0,True,False,win,2026-04-28 09:30:00-04:00,49517.0,81.0,61.0,49548.0,49237.0
2026-04-29,2026-04-29 09:30:00-04:00,49155.0,49349.66,0.3945,49205.0,49125.0,True,False,win,2026-04-29 09:30:00-04:00,49205.0,144.0,29.0,49299.0,48996.0
2026-04-30,2026-04-30 09:30:00-04:00,49317.0,48907.8,-0.8367,49367.0,49287.0,False,True,loss,2026-04-30 09:30:00-04:00,49287.0,18.0,133.0,49643.0,49184.0
2026-05-01,2026-05-01 09:30:00-04:00,49962.0,49919.51,-0.0851,50012.0,49932.0,True,False,win,2026-05-01 09:30:00-04:00,50012.0,70.0,95.0,50138.0,49867.0
2026-05-04,2026-05-04 09:30:00-04:00,49440.0,49652.12,0.4272,49490.0,49410.0,True,False,win,2026-05-04 09:30:00-04:00,49490.0,63.0,54.0,49562.0,49346.0
2026-05-05,2026-05-05 09:30:00-04:00,49287.0,49152.64,-0.2734,49337.0,49257.0,True,False,win,2026-05-05 09:30:00-04:00,49337.0,51.0,63.0,49403.0,49123.0
2026-05-06,2026-05-06 09:30:00-04:00,49870.0,49597.32,-0.5498,49920.0,49840.0,False,True,loss,2026-05-06 09:30:00-04:00,49840.0,40.0,64.0,50091.0,49806.0
2026-05-07,2026-05-07 09:30:00-04:00,50113.0,50079.07,-0.0678,50163.0,50083.0,True,False,win,2026-05-07 09:30:00-04:00,50163.0,125.0,10.0,50238.0,49820.0
2026-05-08,2026-05-08 09:30:00-04:00,49838.0,49771.42,-0.1338,49888.0,49808.0,True,False,win,2026-05-08 09:30:00-04:00,49888.0,111.0,34.0,49949.0,49726.0
2026-05-11,2026-05-11 09:30:00-04:00,49634.0,49616.16,-0.0359,49684.0,49604.0,True,False,win,2026-05-11 09:30:00-04:00,49684.0,112.0,14.0,49813.0,49562.0
2026-05-12,2026-05-12 09:30:00-04:00,49607.0,49770.07,0.3276,49657.0,49577.0,True,False,win,2026-05-12 09:30:00-04:00,49657.0,181.0,1.0,49788.0,49397.0
2026-05-13,2026-05-13 09:30:00-04:00,49604.0,49815.64,0.4248,49654.0,49574.0,True,False,win,2026-05-13 09:30:00-04:00,49654.0,100.0,2.0,49767.0,49534.0
2026-05-14,2026-05-14 09:30:00-04:00,50075.0,49973.24,-0.2036,50125.0,50045.0,True,False,win,2026-05-14 09:30:00-04:00,50125.0,178.0,10.0,50253.0,49954.0
2026-05-15,2026-05-15 09:30:00-04:00,49752.0,49971.84,0.4399,49802.0,49722.0,True,False,win,2026-05-15 09:30:00-04:00,49802.0,99.0,32.0,49851.0,49611.0
2026-05-18,2026-05-18 09:30:00-04:00,49562.0,49339.9,-0.4502,49612.0,49532.0,True,False,win,2026-05-18 09:30:00-04:00,49612.0,113.0,13.0,49845.0,49525.0
2026-05-19,2026-05-19 09:30:00-04:00,49425.0,49719.42,0.5922,49475.0,49395.0,True,False,win,2026-05-19 09:30:00-04:00,49475.0,177.0,101.0,49687.0,49324.0
